Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Allen, Ryan","Simon Fraser University (Burnaby, B.C.)",Operating Grant,201503MOP,"Public, Community & Population Health",Randomized Interventions to Evaluate the Effects of Air Pollution Exposure on Children's Health and Development,"                $720,535","                      $0","4 yrs 0 mth "
"Allen, Ryan","Simon Fraser University (Burnaby, B.C.)",Operating Grant,201203MOP,"Public, Community & Population Health 2",A Randomized Air Filter Intervention Study of Air Pollution and Fetal Growth in a Highly Polluted Community,"                $276,267","                      $0","3 yrs 0 mth "
"Allen, Ryan","Simon Fraser University (Burnaby, B.C.)",Operating Grant,201009MOP,"Public, Community & Population Health 2",Subclinical cardiovascular health benefits of interventions to reduce exposure to combustion-derived particulate air pollution,"                $319,686","                      $0","3 yrs 0 mth "
"Allen, Ryan","Simon Fraser University (Burnaby, B.C.)",Project Grant,201903PJT,"Public, Community & Population Health",An intervention study of prenatal air pollution exposure and its impacts on cardiometabolic and respiratory health in children,"                $699,976","                      $0","4 yrs 6 mths "
"Allen-Scott, Lisa K",University of Calgary,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201010GSD,Doctoral Research Awards - B,Public Health Interventions and Unintended Harm:  A Theoretical Framework for Intervention Evaluation and Knowledge Translation.,"                $105,000","                      $0","3 yrs 0 mth "
"Allen-Scott, Lisa K",University of Calgary,Doctoral: Vanier Canada Graduate Scholarships,201010CGV,Vanier Canada Graduate Scholarships CIHR,Public Health Interventions and Unintended Harm:  A Theoretical Framework for Intervention Evaluation and Knowledge Translation.,"                $150,000","                      $0","3 yrs 0 mth "
"Allison, Jill D",Memorial University of Newfoundland,Regional Partnership Program Fellowship,200910RFE,Health Research Training A - Post-PhD (HTA),Embodied Risk: Social and Political Identity Formation Associated with Genetic Diagnosis in Newfoundland and Labrador,"                 $45,000","                      $0","2 yrs 0 mth "
"Allison, Kenneth R",Public Health Ontario (Toronto),Planning Grants: Priority Announcement - Reproductive and Child Health,201210MRP,Planning Grants,Sparking Life Physical Activity Intervention: Evaluation Team Development,"                 $22,210","                      $0","1 yr 0 mth "
"Allison, Paul J; Taylor, James; Dawson, Aimée; Mcnally, Mary E; Pani, Sharat C; Quiñonez, Carlos R; Schroth, Robert J; Siqueira, Walter L",McGill University,Oral Health and Oral Health Care of Canadians,202012OHO,Oral Health and Oral Health Care of Canadians,"The oral health of Canadians: an investigation of status and disease burden, access to care, risk determinants, and associations with systemic health and well-being","              $3,300,000","                      $0","3 yrs 0 mth "
"Allman, Dan B; Calzavara, Liviana; Godbout, Caroline",University of Toronto,Dissemination Events - Priority Announcement: HIV/AIDS,201302MHI,Dissemination Events Grants,Visualizing Survey Data: Disseminating Results from a Population Health Survey on HIV and AIDS in Canada,"                 $25,000","                      $0","1 yr 0 mth "
"Allman, Dan B",University of Toronto,Planning and Dissemination Grant - Institute Community Support,201708PCS,Planning and Dissemination - HIV/AIDS and/or STBBIs,Association for the Social Sciences and Humanities in HIV (ASSHH) 2018 Conference,"                 $20,000","                      $0","1 yr 0 mth "
"Allman, Dan B; Sorfleet, Andrew",University of Toronto,Catalyst Grant: HIV/AIDS CBR Program - General Stream,201511CDE,HIV/AIDS Community-Based Research (merged),Sex Workers' Perspectives on Policy and Practice for HIV Pre-Exposure Prophylaxis (PrEP) in Canada: A Community-based Pilot Study,"                 $32,989","                      $0","1 yr 0 mth "
"Allman, Dan B",University of Toronto,Planning and Dissemination Grant - Institute Community Support,201508PCS,Planning and Dissemination - HIV/AIDS and/or STBBIs,"Islam, Young People and HIV and AIDS in Ontario: Planning for a Comprehensive Study of Needs, Challenges and Priorities","                 $14,968","                      $0","1 yr 0 mth "
"Allman, Dan B",University of Toronto,Planning and Dissemination Grant - Institute Community Support,201508PCS,Planning and Dissemination - HIV/AIDS and/or STBBIs,A Consultation and Planning Process to Explore the Capacity and Research Needs of Sex Work Organizations and their Allies addressing HIV Pre-Exposure Prophylaxis (PrEP) in Canada,"                 $14,984","                      $0","1 yr 0 mth "
"All Nations Hope Network, All Nations hope Network","All Nations Hope Network (Regina, Saskatchewan)",Planning and Dissemination Grant - Institute Community Support,202402PCS,Planning and Dissemination Grants,Strengthening STBBI Knowledge Mobilization Approaches following the COVID-19 Pandemic: Towards planning an Indigenous Health Council Gathering,"                 $25,000","                      $0","1 yr 0 mth "
"Allorant, Adrien",McGill University,CIHR Fellowship,202210MFE,Health Research Training A - Post-PhD (HTA),"Improving the granularity and precision of HIV testing and treatment services estimates in sub-Saharan Africa, to identify and resolve socio-demographic and spatial inequalities in the global HIV response","                 $90,000","                      $0","2 yrs 0 mth "
"Almeida, Nisha D",McGill University,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,200910GSD,Doctoral Research Awards - B,The relationship between gender inequity and maternal mortality,"                $105,000","                      $0","3 yrs 0 mth "
"Alphonsus, Khrisha",University of Saskatchewan,Travel Awards - Institute Community Support,201601ISU,CPHA Conference,Examining the Association between Area Level Deprivation and Severity of Vehicle Collisions,"                  $1,500","                      $0","1 yr 0 mth "
"Alvarado, Beatriz E; Jolly, Ann M","Queen's University (Kingston, Ontario)",Operating Grant - PA: HIV/AIDS Bridge Funding - Health Services/Pop Hlth Stream,201203HIB,"Public, Community & Population Health","Social dynamics of HIV, Syphilis, Chlamydia and Gonorrhea risk in vulnerable populations from Columbia and Canada.","                $100,000","                      $0","1 yr 0 mth "
"Alvarado, Beatriz E; Cubillos, Miguel; Adam, Barry D; Betancourt, Gerardo","Queen's University (Kingston, Ontario)",Catalyst Grant: HIV/AIDS CBR Program - General Stream,201204CDE,HIV/AIDS Community-Based Research - General Stream (Merged),Pilot implementation of Mano en Mano: a community based HIV prevention intervention in Gay and other MSM Latino Populations in Canada and Colombia,"                 $32,490","                      $0","1 yr 0 mth "
"Alvarez, Gonzalo G; Allen, Jean M; Delatolla, Robert; Sun, Jim",Ottawa Hospital Research Institute,Project Grant,202303PJT,Indigenous Health Research,The Taima TB wastewater study,"              $3,037,050","                      $0","5 yrs 0 mth "
"Alvarez Jaramillo, Liliana",University of Western Ontario,Project Grant,202010PJT,Social & Developmental Aspects of Children's & Youth's Health,"#dontdrivehigh: Establishing Youth's Risk Profiles for Driving Under the Influence of Cannabis","                $195,075","                      $0","3 yrs 0 mth "
"Ambasta, Anshula; Butalia, Sonia; Dormuth, Colin R; Lega, Iliana C; Thompson, Wade",University of British Columbia,Project Grant - PA: Patient-Oriented Research: Early-Career Investigator,202209PJM,"Public, Community & Population Health 2","People with Prediabetes and Mild Diabetes: characteristics, management and outcomes","                $100,000","                      $0","1 yr 0 mth "
"Amed, Shazhan; Dixson, Donna E; Vugteveen, Christina",University of British Columbia,Operating Grant: Knowledge to Action,201210KAL,Operating Grant: Knowledge to Action,"Tele-SCOPE - Translation, Evaluation and Learnings Exchanged for Sustainable Childhood Obesity Prevention Through Community Engagement","                $198,790","                  $1,200","2 yrs 0 mth "
"Amed, Shazhan",University of British Columbia,Patient-Oriented Research Collaboration Grants,201511PEG,Patient Engagement - Collaboration Grants (SPOR),Child-sized KT - Engaging kids and families in research at BC Children's Hospital,"                 $14,914","                      $0","1 yr 0 mth "
"Ames, Megan E",University of Victoria (British Columbia),CIHR Fellowship,201511MFE,Health Research Training B - HP,The Influence of Psychosocial Stressors on Indicators of Cardiometabolic Risk in the Transition to Young Adulthood,"                 $90,000","                      $0","2 yrs 0 mth "
"Ames, Megan E; Smith, Barbara J; Paterson, Theone",University of Victoria (British Columbia),Operating Grant: COVID-19 Vaccine Confidence,202108VCF,Operating Grant : COVID-19 Vaccine Confidence,Understanding vaccine confidence and decision-making among Canadian youth: Survey and intervention development,"                $170,329","                      $0","2 yrs 0 mth "
"Amirault, Marni D; Masching, Renee; Stratton, Trevor","Communities, Alliances & Networks (Saskatchewan)",Catalyst Grant: HIV/AIDS Community Based Research Program - Indigenous Stream,201606CAG,HIV/AIDS Community-Based Research (merged),International Indigenous Knowledge Sharing Team Development,"                 $32,940","                      $0","1 yr 0 mth "
"Ammi, Mehdi; Allin, Sara",Carleton University (Ottawa),Project Grant,202104PJT,"Public, Community & Population Health","Improving Public Health Finance Capacity and Spending Data Monitoring and Reporting to Inform the COVID Recovery Period: An International, Sequential Mixed-Methods Investigation","                $466,650","                      $0","3 yrs 0 mth "
"Amon, Cristina; Bannon, Karen; Bazylak, Jason; Jeffrey, Melanie A",University of Toronto,Team Grant: HCIS - LOI - Urban Indigenous Health,202110LT5,Team Grant : Healthy Cities Implementation Science (HCIS) Team Grants - LOI,"Caring for the Thunderbird's Nest:  Characterizing and Monitoring Inequitable Exposures to Ground and Air Pollution with Fort William First Nation, Using Machine Learning Tools","                 $24,680","                      $0","1 yr 0 mth "
"Amram, Ofer","Simon Fraser University (Burnaby, B.C.)",Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201210GSD,Doctoral Research Awards - B,Spatial epidemiology of child and youth injury in Canada,"                $105,000","                      $0","3 yrs 0 mth "
